"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"proposal_intercept[34]",-0.404325,0.0255187,0.623185,0.0711476918246823,0.242232817920704,NA,0.00197893287550983,0.8,14983,0.0646813083498133,1.00014981822887
"proposal_intercept[35]",-0.422691,0.02347325,0.601395,0.0652584642393438,0.241325897016448,NA,0.00170440177262047,0.7,20048,0.0607714901453453,0.999986950307672
"proposal_intercept[36]",-0.412285,0.02045435,0.605842,0.0594089537816991,0.2393636345786,NA,0.00167278668078889,0.7,20476,0.0466151858463295,1.00001863893621
"proposal_intercept[37]",-0.488413,0.00057437,0.516988,0.00285477115901925,0.231331132584217,NA,0.0011588381390597,0.5,39849,0.000244509974501866,1.00001786258003
"proposal_intercept[38]",-0.417138,0.02530245,0.611604,0.0682663903785375,0.242343488018857,NA,0.00185197627515912,0.8,17123,0.0581622830320029,1.0000420060907
"proposal_intercept[39]",-0.475374,0.002276985,0.531718,0.0113654777353425,0.232365501798496,NA,0.00116510234383107,0.5,39775,-0.000539433606131912,1.00005543742197
"proposal_intercept[40]",-0.393504,0.0292284,0.636966,0.0760097877746745,0.243451167369078,NA,0.00185795480926732,0.8,17169,0.0718013987256228,1.00004962915422
"proposal_intercept[41]",-0.331122,0.0588343,0.745896,0.130090865758986,0.265182833933226,NA,0.003354951947231,1.3,6248,0.179028659015089,1.0001189875247
"proposal_intercept[42]",-0.619026,-0.0238877,0.41176,-0.06658383447996,0.241131942403243,NA,0.00180065081779041,0.7,17933,0.0572349414081101,1.0002424775907
"tau_proposal",0.000104472,0.208929,0.501955,0.2268294429713,0.152989024600751,NA,0.0042341249645905,2.8,1306,0.821039143037006,1.00030417589937
"tau_assessor",1.32339e-05,0.154177,0.433187,0.18022516682424,0.134381696782051,NA,0.00176037913682036,1.3,5827,0.47289896164371,1.00105828433835
"rank_theta[1]",4,25,42,23.800175,11.6576302256479,36,0.06221051588431,0.5,35115,0.0111560940131816,1.00001874469437
"rank_theta[2]",1,21,40,21.35105,11.7279943956251,23,0.058925091103374,0.5,39614,-4.29872187032068e-05,0.999961699739736
"rank_theta[3]",1,21,40,21.22025,11.709264178811,21,0.0580773278998412,0.5,40649,-0.00374588832854002,0.99998491759648
"rank_theta[4]",4,25,42,23.9772,11.6845814386347,40,0.0633177977096657,0.5,34055,0.0165101847858136,1.00007901910216
"rank_theta[5]",7,35,42,30.760875,11.178444353971,42,0.168295738923552,1.5,4412,0.182171339148719,1.00001051413765
"rank_theta[6]",4,25,42,24.146525,11.6159191915164,38,0.0603453174422729,0.5,37053,0.0138903785987019,1.00000341473241
"rank_theta[7]",4,25,42,24.2148,11.6040134129611,37,0.0644533886991194,0.6,32413,0.0192405076226767,1.00000550427243
"rank_theta[8]",5,29,42,26.95775,11.5163918229416,42,0.101588422692343,0.9,12851,0.0696711920094977,0.999971385007259
"rank_theta[9]",1,17,39,18.64785,11.6430914888184,2,0.0657256949800003,0.6,31381,0.0201321279385014,0.999972637833366
"rank_theta[10]",4,25,42,24.063075,11.6230535544117,40,0.0616759020994834,0.5,35515,0.0120860124234347,0.999985565514768
"rank_theta[11]",1,22,40,21.60585,11.685923574872,24,0.0592182379196172,0.5,38942,0.001901498420244,1.00000096292454
"rank_theta[12]",1,18,39,19.065775,11.6377009994025,2,0.0632185816260562,0.5,33888,0.0130458319638232,1.00001339736292
"rank_theta[13]",5,28,42,26.2928,11.551997852162,41,0.0917283986492097,0.8,15860,0.0549042322336318,1.00007131361299
"rank_theta[14]",1,21,40,21.218875,11.7120001711097,19,0.0585600008555485,0.5,40000,0.00420431916382187,1.00010367433508
"rank_theta[15]",5,28,42,26.3855,11.5246652965611,42,0.100202405688825,0.9,13228,0.0523328580047818,1.00002529495379
"rank_theta[16]",1,18,39,18.8823,11.7074921885234,2,0.066835469140912,0.6,30684,0.0142324035023049,0.999978476676096
"rank_theta[17]",1,18,39,19.07265,11.6824755075011,2,0.0600140572624998,0.5,37893,0.00950230998347086,1.00011525657996
"rank_theta[18]",1,21,40,21.442625,11.7004970257738,24,0.0585024851288689,0.5,40000,-0.00258896170284926,0.999965796784558
"rank_theta[19]",5,29,42,27.0098,11.4911294097392,42,0.110087385102915,1,10896,0.0663830803120343,1.00005449027837
"rank_theta[20]",1,21,40,21.221425,11.6927761457544,24,0.0582732224285176,0.5,40262,-0.00242726834416897,1.00006723038891
"rank_theta[21]",4,25,42,24.21545,11.6248036413099,38,0.0636627022403023,0.5,33343,0.0141389868443388,1.00005452763009
"rank_theta[22]",1,10,36,13.397425,11.3446417260209,1,0.147137039242181,1.3,5945,0.145026684249347,1.00004238201736
"rank_theta[23]",1,14,38,16.064425,11.5396881903045,1,0.109965589150078,1,11012,0.0675386167676082,1.00002069250134
"rank_theta[24]",1,21,40,21.28375,11.7221722035862,23,0.0586108610179308,0.5,40000,-0.00337536898288559,1.00002519988214
"rank_theta[25]",4,25,42,23.94535,11.64459974817,38,0.0615735110112061,0.5,35765,0.0149665750809768,0.999972447991881
"rank_theta[26]",4,26,42,24.58635,11.6575379532884,41,0.0706141725808377,0.6,27254,0.0250998056614959,1.00001281283146
"rank_theta[27]",4,24,42,23.53045,11.6770172396799,37,0.0635289219203662,0.5,33785,0.0102034986830275,1.00005905512507
"rank_theta[28]",1,17,39,18.47025,11.6327253017058,3,0.0677699706716013,0.6,29464,0.0191679098184615,1.00002300339233
"rank_theta[29]",1,17,39,18.5981,11.6224138371764,3,0.0660283278847752,0.6,30984,0.0189707238766729,1.00001239166304
"rank_theta[30]",1,21,40,21.218375,11.7054650829085,27,0.0585705411009507,0.5,39941,0.000353489422543455,0.999967641510609
"rank_theta[31]",1,22,40,21.62145,11.6770719252608,25,0.0583853596263038,0.5,40000,0.00281807757623274,1.00001803678845
"rank_theta[32]",1,14,38,16.05115,11.5315613903841,1,0.102843417350536,0.9,12573,0.0721067345813118,1.00000618647683
"rank_theta[33]",1,22,40,21.746475,11.7088397161101,33,0.0587795282062025,0.5,39680,0.00279501087923221,1.00004788925446
"rank_theta[34]",1,18,39,18.6474,11.6555016840967,5,0.0673089302258306,0.6,29986,0.0155511158386562,1.0000786732284
"rank_theta[35]",1,18,39,18.84355,11.6631116817876,3,0.0634523962990619,0.5,33786,0.0212197707318703,0.999962477930172
"rank_theta[36]",1,18,39,19.100525,11.6486871372775,3,0.0628293280720149,0.5,34374,0.0124960283633006,0.999996522635207
"rank_theta[37]",1,21,40,21.443475,11.6728771657169,22,0.0578251832130171,0.5,40749,0.000393413594459686,0.999993608511497
"rank_theta[38]",1,18,39,18.7407,11.6531909119973,6,0.0692158101017394,0.6,28345,0.0184398119424067,0.999978149449414
